codigo_region;region;codigo_comuna;comuna;n_habitantes;km_2;densidad;tipo_com;clasificacion
1;Tarapacá;1101;IQUIQUE;191468;2287;8,37201574114561e+01;1;Urbana
1;Tarapacá;1107;ALTO HOSPICIO;108375;575;1,88478260869565e+02;1;Urbana
1;Tarapacá;1401;POZO ALMONTE;15711;13769;1,14104146996877e+00;3;Rural
1;Tarapacá;1402;CAMIÑA;1250;2200;5,68181818181818e-01;3;Rural
1;Tarapacá;1403;COLCHANE;1728;4006;4,31352970544184e-01;3;Rural
1;Tarapacá;1404;HUARA;2730;10471;2,60720084041639e-01;3;Rural
1;Tarapacá;1405;PICA;9296;8984;1,03472840605521e+00;3;Rural
2;Antofagasta;2101;ANTOFAGASTA;361873;30691;1,17908507380014e+01;1;Urbana
2;Antofagasta;2102;MEJILLONES;13467;3569;3,77332586158588e+00;3;Rural
2;Antofagasta;2103;SIERRA GORDA;10186;12881;7,90777113578138e-01;3;Rural
2;Antofagasta;2104;TALTAL;13317;20403;6,52698132627555e-01;3;Rural
2;Antofagasta;2201;CALAMA;165731;15587;1,06326425867710e+01;1;Urbana
2;Antofagasta;2202;OLLAGÜE;321;2921;1,09893871961657e-01;3;Rural
2;Antofagasta;2203;SAN PEDRO DE ATACAMA;10996;23539;4,67139640596457e-01;3;Rural
2;Antofagasta;2301;TOCOPILLA;25186;4031;6,24807740014885e+00;3;Rural
2;Antofagasta;2302;MARÍA ELENA;6457;12431;5,19427238355724e-01;3;Rural
3;Atacama;3101;COPIAPÓ;153937;17779;8,65836098768210e+00;1;Urbana
3;Atacama;3102;CALDERA;17662;3681;4,79815267590329e+00;3;Rural
3;Atacama;3103;TIERRA AMARILLA;14019;11253;1,24580111970141e+00;3;Rural
3;Atacama;3201;CHAÑARAL;12219;5772;2,11694386694387e+00;3;Rural
3;Atacama;3202;DIEGO DE ALMAGRO;13925;18977;7,33783000474258e-01;3;Rural
3;Atacama;3301;VALLENAR;51917;7226;7,18474951563797e+00;2;Mixta
3;Atacama;3302;ALTO DEL CARMEN;5299;6156;8,60786224821313e-01;3;Rural
3;Atacama;3303;FREIRINA;7041;3224;2,18393300248139e+00;3;Rural
3;Atacama;3304;HUASCO;10149;1601;6,33916302311056e+00;3;Rural
4;Coquimbo;4101;LA SERENA;221054;1901;1,16283008942662e+02;1;Urbana
4;Coquimbo;4102;COQUIMBO;227730;1426;1,59698457223001e+02;1;Urbana
4;Coquimbo;4103;ANDACOLLO;11044;514;2,14863813229572e+01;3;Rural
4;Coquimbo;4104;LA HIGUERA;4241;4161;1,01922614756068e+00;3;Rural
4;Coquimbo;4105;PAIGUANO;4497;1515;2,96831683168317e+00;3;Rural
4;Coquimbo;4106;VICUÑA;27771;7580;3,66372031662269e+00;3;Rural
4;Coquimbo;4201;ILLAPEL;30848;2627;1,17426722497145e+01;3;Rural
4;Coquimbo;4202;CANELA;9093;2198;4,13694267515924e+00;3;Rural
4;Coquimbo;4203;LOS VILOS;21382;1859;1,15018827326520e+01;3;Rural
4;Coquimbo;4204;SALAMANCA;29347;3445;8,51872278664731e+00;3;Rural
4;Coquimbo;4301;OVALLE;111272;3550;3,13442253521127e+01;1;Urbana
4;Coquimbo;4302;COMBARBALÁ;13322;2295;5,80479302832244e+00;3;Rural
4;Coquimbo;4303;MONTE PATRIA;30751;4211;7,30254096414153e+00;3;Rural
4;Coquimbo;4304;PUNITAQUI;10956;1093;1,00237877401647e+01;3;Rural
4;Coquimbo;4305;RÍO HURTADO;4278;2203;1,94189741261916e+00;3;Rural
5;Valparaíso;5101;VALPARAÍSO;296655;317;9,35820189274448e+02;1;Urbana
5;Valparaíso;5102;CASABLANCA;26867;953;2,81920251836306e+01;2;Mixta
5;Valparaíso;5103;CONCÓN;42152;77;5,47428571428571e+02;2;Mixta
5;Valparaíso;5104;JUAN FERNÁNDEZ;926;104;8,90384615384615e+00;3;Rural
5;Valparaíso;5105;PUCHUNCAVÍ;18546;300;6,18200000000000e+01;2;Mixta
5;Valparaíso;5107;QUINTERO;31923;147;2,17163265306122e+02;2;Mixta
5;Valparaíso;5109;VIÑA DEL MAR;334248;123;2,71746341463415e+03;1;Urbana
5;Valparaíso;5201;ISLA DE PASCUA;7750;164;4,72560975609756e+01;3;Rural
5;Valparaíso;5301;LOS ANDES;66708;1233;5,41021897810219e+01;1;Urbana
5;Valparaíso;5302;CALLE LARGA;14832;322;4,60621118012422e+01;2;Mixta
5;Valparaíso;5303;RINCONADA;10207;123;8,29837398373984e+01;3;Rural
5;Valparaíso;5304;SAN ESTEBAN;18855;1375;1,37127272727273e+01;2;Mixta
5;Valparaíso;5401;LA LIGUA;35390;1165;3,03776824034335e+01;2;Mixta
5;Valparaíso;5402;CABILDO;19388;1456;1,33159340659341e+01;2;Mixta
5;Valparaíso;5403;PAPUDO;6356;166;3,82891566265060e+01;3;Rural
5;Valparaíso;5404;PETORCA;9826;1516;6,48153034300792e+00;3;Rural
5;Valparaíso;5405;ZAPALLAR;7339;289;2,53944636678201e+01;3;Rural
5;Valparaíso;5501;QUILLOTA;90517;302;2,99725165562914e+02;1;Urbana
5;Valparaíso;5502;CALERA;50554;59;8,56847457627119e+02;1;Urbana
5;Valparaíso;5503;HIJUELAS;17988;268;6,71194029850746e+01;2;Mixta
5;Valparaíso;5504;LA CRUZ;22098;78;2,83307692307692e+02;2;Mixta
5;Valparaíso;5506;NOGALES;22120;405;5,46172839506173e+01;3;Rural
5;Valparaíso;5601;SAN ANTONIO;91350;398;2,29522613065327e+02;1;Urbana
5;Valparaíso;5602;ALGARROBO;13817;175;7,89542857142857e+01;2;Mixta
5;Valparaíso;5603;CARTAGENA;22738;245;9,28081632653061e+01;2;Mixta
5;Valparaíso;5604;EL QUISCO;15955;51;3,12843137254902e+02;2;Mixta
5;Valparaíso;5605;EL TABO;13286;99;1,34202020202020e+02;2;Mixta
5;Valparaíso;5606;SANTO DOMINGO;10900;531;2,05273069679849e+01;3;Rural
5;Valparaíso;5701;SAN FELIPE;76844;187;4,10930481283422e+02;1;Urbana
5;Valparaíso;5702;CATEMU;13998;361;3,87756232686981e+01;3;Rural
5;Valparaíso;5703;LLAILLAY;24608;350;7,03085714285714e+01;2;Mixta
5;Valparaíso;5704;PANQUEHUE;7273;120;6,06083333333333e+01;3;Rural
5;Valparaíso;5705;PUTAENDO;16754;1449;1,15624568668047e+01;2;Mixta
5;Valparaíso;5706;SANTA MARÍA;15241;166;9,18132530120482e+01;2;Mixta
5;Valparaíso;5801;QUILPUÉ;151708;537;2,82510242085661e+02;1;Urbana
5;Valparaíso;5802;LIMACHE;46121;295;1,56342372881356e+02;2;Mixta
5;Valparaíso;5803;OLMUÉ;17516;232;7,55000000000000e+01;3;Rural
5;Valparaíso;5804;VILLA ALEMANA;126548;96;1,31820833333333e+03;1;Urbana
6;O'Higgins;6101;RANCAGUA;241774;264;9,15810606060606e+02;1;Urbana
6;O'Higgins;6102;CODEGUA;12988;285;4,55719298245614e+01;2;Mixta
6;O'Higgins;6103;COINCO;7359;97;7,58659793814433e+01;3;Rural
6;O'Higgins;6104;COLTAUCO;19597;223;8,78789237668161e+01;2;Mixta
6;O'Higgins;6105;DOÑIHUE;20887;80;2,61087500000000e+02;2;Mixta
6;O'Higgins;6106;GRANEROS;33437;112;2,98544642857143e+02;2;Mixta
6;O'Higgins;6107;LAS CABRAS;24640;751;3,28095872170439e+01;3;Rural
6;O'Higgins;6108;MACHALÍ;52505;2593;2,02487466255303e+01;1;Urbana
6;O'Higgins;6109;MALLOA;13407;220;6,09409090909091e+01;3;Rural
6;O'Higgins;6110;MOSTAZAL;25343;524;4,83645038167939e+01;2;Mixta
6;O'Higgins;6111;OLIVAR;13608;47;2,89531914893617e+02;2;Mixta
6;O'Higgins;6112;PEUMO;14313;155;9,23419354838710e+01;2;Mixta
6;O'Higgins;6113;PICHIDEGUA;19714;319;6,17993730407524e+01;3;Rural
6;O'Higgins;6114;QUINTA DE TILCOCO;13002;86;1,51186046511628e+02;2;Mixta
6;O'Higgins;6115;RENGO;58825;584;1,00727739726027e+02;1;Urbana
6;O'Higgins;6116;REQUÍNOA;27968;673;4,15572065378900e+01;2;Mixta
6;O'Higgins;6117;SAN VICENTE;46766;483;9,68240165631470e+01;2;Mixta
6;O'Higgins;6201;PICHILEMU;16394;715;2,29286713286713e+01;3;Rural
6;O'Higgins;6202;LA ESTRELLA;3041;433;7,02309468822171e+00;3;Rural
6;O'Higgins;6203;LITUECHE;6294;619;1,01680129240711e+01;3;Rural
6;O'Higgins;6204;MARCHIHUE;7308;657;1,11232876712329e+01;3;Rural
6;O'Higgins;6205;NAVIDAD;6641;298;2,22852348993289e+01;3;Rural
6;O'Higgins;6206;PAREDONES;6188;575;1,07617391304348e+01;3;Rural
6;O'Higgins;6301;SAN FERNANDO;73973;2322;3,18574504737295e+01;1;Urbana
6;O'Higgins;6302;CHÉPICA;15037;478;3,14581589958159e+01;2;Mixta
6;O'Higgins;6303;CHIMBARONGO;35399;508;6,96830708661417e+01;3;Rural
6;O'Higgins;6304;LOLOL;6811;597;1,14087102177554e+01;3;Rural
6;O'Higgins;6305;NANCAGUA;17833;152;1,17322368421053e+02;2;Mixta
6;O'Higgins;6306;PALMILLA;12482;236;5,28898305084746e+01;3;Rural
6;O'Higgins;6307;PERALILLO;11007;282;3,90319148936170e+01;3;Rural
6;O'Higgins;6308;PLACILLA;8738;145;6,02620689655172e+01;3;Rural
6;O'Higgins;6309;PUMANQUE;3421;441;7,75736961451247e+00;3;Rural
6;O'Higgins;6310;SANTA CRUZ;37855;395;9,58354430379747e+01;2;Mixta
7;Maule;7101;TALCA;220357;232;9,49814655172414e+02;1;Urbana
7;Maule;7102;CONSTITUCIÓN;46068;1334;3,45337331334333e+01;2;Mixta
7;Maule;7103;CUREPTO;9448;1068;8,84644194756554e+00;3;Rural
7;Maule;7104;EMPEDRADO;4142;567;7,30511463844797e+00;3;Rural
7;Maule;7105;MAULE;49721;242;2,05458677685950e+02;2;Mixta
7;Maule;7106;PELARCO;8422;331;2,54441087613293e+01;3;Rural
7;Maule;7107;PENCAHUE;8245;956;8,62447698744770e+00;3;Rural
7;Maule;7108;RÍO CLARO;13906;435;3,19678160919540e+01;3;Rural
7;Maule;7109;SAN CLEMENTE;43269;4500;9,61533333333333e+00;3;Rural
7;Maule;7110;SAN RAFAEL;9191;262;3,50801526717557e+01;3;Rural
7;Maule;7201;CAUQUENES;40441;2127;1,90131640808651e+01;3;Rural
7;Maule;7202;CHANCO;8928;528;1,69090909090909e+01;3;Rural
7;Maule;7203;PELLUHUE;7571;370;2,04621621621622e+01;3;Rural
7;Maule;7301;CURICÓ;149136;1333;1,11879969992498e+02;1;Urbana
7;Maule;7302;HUALAÑÉ;9657;632;1,52800632911392e+01;3;Rural
7;Maule;7303;LICANTÉN;6653;272;2,44595588235294e+01;3;Rural
7;Maule;7304;MOLINA;45976;1518;3,02872200263505e+01;2;Mixta
7;Maule;7305;RAUCO;10484;310;3,38193548387097e+01;3;Rural
7;Maule;7306;ROMERAL;15187;1602;9,48002496878901e+00;2;Mixta
7;Maule;7307;SAGRADA FAMILIA;18544;547;3,39012797074954e+01;3;Rural
7;Maule;7308;TENO;28921;619;4,67221324717286e+01;3;Rural
7;Maule;7309;VICHUQUÉN;4322;452;9,56194690265487e+00;3;Rural
7;Maule;7401;LINARES;93602;1468;6,37615803814714e+01;1;Urbana
7;Maule;7402;COLBÚN;20765;2925;7,09914529914530e+00;3;Rural
7;Maule;7403;LONGAVÍ;30534;1456;2,09711538461538e+01;3;Rural
7;Maule;7404;PARRAL;41637;1635;2,54660550458716e+01;2;Mixta
7;Maule;7405;RETIRO;19974;825;2,42109090909091e+01;3;Rural
7;Maule;7406;SAN JAVIER;45547;1311;3,47421815408085e+01;2;Mixta
7;Maule;7407;VILLA ALEGRE;16221;191;8,49267015706806e+01;2;Mixta
7;Maule;7408;YERBAS BUENAS;18081;258;7,00813953488372e+01;3;Rural
8;Biobío;8101;CONCEPCIÓN;223574;214;1,04473831775701e+03;1;Urbana
8;Biobío;8102;CORONEL;116262;274;4,24313868613139e+02;1;Urbana
8;Biobío;8103;CHIGUAYANTE;85938;63;1,36409523809524e+03;1;Urbana
8;Biobío;8104;FLORIDA;10624;606;1,75313531353135e+01;3;Rural
8;Biobío;8105;HUALQUI;24333;534;4,55674157303371e+01;2;Mixta
8;Biobío;8106;LOTA;43535;114;3,81885964912281e+02;2;Mixta
8;Biobío;8107;PENCO;47367;108;4,38583333333333e+02;2;Mixta
8;Biobío;8108;SAN PEDRO DE LA PAZ;131808;92;1,43269565217391e+03;1;Urbana
8;Biobío;8109;SANTA JUANA;13749;780;1,76269230769231e+01;2;Mixta
8;Biobío;8110;TALCAHUANO;151749;93;1,63170967741935e+03;1;Urbana
8;Biobío;8111;TOMÉ;54946;497;1,10555331991952e+02;1;Urbana
8;Biobío;8112;HUALPÉN;91773;45;2,03940000000000e+03;1;Urbana
8;Biobío;8201;LEBU;25522;560;4,55750000000000e+01;2;Mixta
8;Biobío;8202;ARAUCO;36257;957;3,78861024033438e+01;3;Rural
8;Biobío;8203;CAÑETE;34537;1087;3,17727690892364e+01;3;Rural
8;Biobío;8204;CONTULMO;6031;640;9,42343750000000e+00;3;Rural
8;Biobío;8205;CURANILAHUE;32288;1001;3,22557442557443e+01;2;Mixta
8;Biobío;8206;LOS ÁLAMOS;21035;601;3,50000000000000e+01;3;Rural
8;Biobío;8207;TIRÚA;10417;626;1,66405750798722e+01;3;Rural
8;Biobío;8301;LOS ÁNGELES;202331;1751;1,15551684751571e+02;1;Urbana
8;Biobío;8302;ANTUCO;4073;1958;2,08018386108274e+00;3;Rural
8;Biobío;8303;CABRERO;28573;657;4,34901065449011e+01;3;Rural
8;Biobío;8304;LAJA;22389;344;6,50843023255814e+01;2;Mixta
8;Biobío;8305;MULCHÉN;29627;1923;1,54066562662506e+01;2;Mixta
8;Biobío;8306;NACIMIENTO;26315;906;2,90452538631347e+01;2;Mixta
8;Biobío;8307;NEGRETE;9737;156;6,24166666666667e+01;3;Rural
8;Biobío;8308;QUILACO;3988;1126;3,54174067495559e+00;3;Rural
8;Biobío;8309;QUILLECO;9587;1123;8,53695458593054e+00;3;Rural
8;Biobío;8310;SAN ROSENDO;3412;93;3,66881720430108e+01;3;Rural
8;Biobío;8311;SANTA BÁRBARA;13773;1254;1,09832535885167e+01;3;Rural
8;Biobío;8312;TUCAPEL;14134;912;1,54978070175439e+01;3;Rural
8;Biobío;8313;YUMBEL;21198;728;2,91181318681319e+01;2;Mixta
8;Biobío;8314;ALTO BIOBÍO;5923;2127;2,78467324870710e+00;3;Rural
9;Araucanía;9101;TEMUCO;282415;467;6,04743040685225e+02;1;Urbana
9;Araucanía;9102;CARAHUE;24533;1334;1,83905547226387e+01;3;Rural
