codigo_region;region;codigo_comuna;comuna;n_habitantes;km_2;densidad;tipo_com;clasificacion
9;Araucanía;9103;CUNCO;17526;1892;9,26321353065539e+00;3;Rural
9;Araucanía;9104;CURARREHUE;7489;1169;6,40633019674936e+00;3;Rural
9;Araucanía;9105;FREIRE;24606;875;2,81211428571429e+01;3;Rural
9;Araucanía;9106;GALVARINO;11996;567;2,11569664902998e+01;3;Rural
9;Araucanía;9107;GORBEA;14414;690;2,08898550724638e+01;2;Mixta
9;Araucanía;9108;LAUTARO;38013;907;4,19106945975744e+01;2;Mixta
9;Araucanía;9109;LONCOCHE;23612;972;2,42921810699588e+01;2;Mixta
9;Araucanía;9110;MELIPEUCO;6138;1108;5,53971119133574e+00;3;Rural
9;Araucanía;9111;NUEVA IMPERIAL;32510;729;4,45953360768176e+01;2;Mixta
9;Araucanía;9112;PADRE LAS CASAS;76126;464;1,64064655172414e+02;2;Mixta
9;Araucanía;9113;PERQUENCO;6905;331;2,08610271903323e+01;3;Rural
9;Araucanía;9114;PITRUFQUÉN;24837;578;4,29705882352941e+01;2;Mixta
9;Araucanía;9115;PUCÓN;28523;1250;2,28184000000000e+01;3;Rural
9;Araucanía;9116;SAAVEDRA;12450;391;3,18414322250639e+01;3;Rural
9;Araucanía;9117;TEODORO SCHMIDT;15045;654;2,30045871559633e+01;3;Rural
9;Araucanía;9118;TOLTÉN;9722;850;1,14376470588235e+01;3;Rural
9;Araucanía;9119;VILCÚN;28151;1416;1,98806497175141e+01;3;Rural
9;Araucanía;9120;VILLARRICA;55478;1290;4,30062015503876e+01;2;Mixta
9;Araucanía;9121;CHOLCHOL;11611;429;2,70652680652681e+01;3;Rural
9;Araucanía;9201;ANGOL;53262;1195;4,45707112970711e+01;1;Urbana
9;Araucanía;9202;COLLIPULLI;24598;1309;1,87914438502674e+01;3;Rural
9;Araucanía;9203;CURACAUTÍN;17413;1659;1,04960819770946e+01;2;Mixta
9;Araucanía;9204;ERCILLA;7733;499;1,54969939879760e+01;3;Rural
9;Araucanía;9205;LONQUIMAY;10251;3937;2,60375920751841e+00;3;Rural
9;Araucanía;9206;LOS SAUCES;7265;849;8,55712603062426e+00;3;Rural
9;Araucanía;9207;LUMACO;9548;1107;8,62511291779584e+00;3;Rural
9;Araucanía;9208;PURÉN;11779;463;2,54406047516199e+01;3;Rural
9;Araucanía;9209;RENAICO;10250;265;3,86792452830189e+01;2;Mixta
9;Araucanía;9210;TRAIGUÉN;18843;897;2,10066889632107e+01;2;Mixta
9;Araucanía;9211;VICTORIA;34182;1261;2,71070578905630e+01;2;Mixta
10;Los Lagos;10101;PUERTO MONTT;245902;1673;1,46982665869695e+02;1;Urbana
10;Los Lagos;10102;CALBUCO;33985;589;5,76994906621392e+01;2;Mixta
10;Los Lagos;10103;COCHAMÓ;4023;3932;1,02314343845371e+00;3;Rural
10;Los Lagos;10104;FRESIA;12261;1276;9,60893416927900e+00;3;Rural
10;Los Lagos;10105;FRUTILLAR;18428;828;2,22560386473430e+01;3;Rural
10;Los Lagos;10106;LOS MUERMOS;17068;1221;1,39787059787060e+01;3;Rural
10;Los Lagos;10107;LLANQUIHUE;17591;433;4,06258660508083e+01;3;Rural
10;Los Lagos;10108;MAULLÍN;14216;807;1,76158612143742e+01;3;Rural
10;Los Lagos;10109;PUERTO VARAS;44578;4020;1,10890547263682e+01;2;Mixta
10;Los Lagos;10201;CASTRO;43807;469;9,34051172707889e+01;2;Mixta
10;Los Lagos;10202;ANCUD;38991;1738;2,24344073647871e+01;2;Mixta
10;Los Lagos;10203;CHONCHI;14858;1366;1,08770131771596e+01;3;Rural
10;Los Lagos;10204;CURACO DE VÉLEZ;3829;79;4,84683544303797e+01;3;Rural
10;Los Lagos;10205;DALCAHUE;13762;1229;1,11977217249797e+01;3;Rural
10;Los Lagos;10206;PUQUELDÓN;3921;96;4,08437500000000e+01;3;Rural
10;Los Lagos;10207;QUEILÉN;5385;330;1,63181818181818e+01;3;Rural
10;Los Lagos;10208;QUELLÓN;27192;3345;8,12914798206278e+00;2;Mixta
10;Los Lagos;10209;QUEMCHI;8352;441;1,89387755102041e+01;3;Rural
10;Los Lagos;10210;QUINCHAO;8088;158;5,11898734177215e+01;3;Rural
10;Los Lagos;10301;OSORNO;161460;954;1,69245283018868e+02;1;Urbana
10;Los Lagos;10302;PUERTO OCTAY;8999;1794;5,01616499442586e+00;3;Rural
10;Los Lagos;10303;PURRANQUE;20369;1450;1,40475862068966e+01;3;Rural
10;Los Lagos;10304;PUYEHUE;11667;1643;7,10103469263542e+00;3;Rural
10;Los Lagos;10305;RÍO NEGRO;14085;1267;1,11168113654302e+01;3;Rural
10;Los Lagos;10306;SAN JUAN DE LA COSTA;7512;1519;4,94535878867676e+00;3;Rural
10;Los Lagos;10307;SAN PABLO;10030;628;1,59713375796178e+01;3;Rural
10;Los Lagos;10401;CHAITÉN;5071;8290;6,11700844390832e-01;3;Rural
10;Los Lagos;10402;FUTALEUFÚ;2623;1237;2,12045270816491e+00;3;Rural
10;Los Lagos;10403;HUALAIHUÉ;8944;2892;3,09266943291840e+00;3;Rural
10;Los Lagos;10404;PALENA;1711;2653;6,44930267621560e-01;3;Rural
11;Aysén;11101;COYHAIQUE;57818;7278;7,94421544380324e+00;1;Urbana
11;Aysén;11102;LAGO VERDE;852;5438;1,56675248253034e-01;3;Rural
11;Aysén;11201;AYSÉN;23959;29907;8,01116795399070e-01;3;Rural
11;Aysén;11202;CISNES;6517;15409;4,22934648581998e-01;3;Rural
11;Aysén;11203;GUAITECAS;1843;631;2,92076069730586e+00;3;Rural
11;Aysén;11301;COCHRANE;3490;8640;4,03935185185185e-01;3;Rural
11;Aysén;11302;O'HIGGINS;625;7773;8,04065354432008e-02;3;Rural
11;Aysén;11303;TORTEL;523;20106;2,60121356808913e-02;3;Rural
11;Aysén;11401;CHILE CHICO;4865;5755;8,45351867940921e-01;3;Rural
11;Aysén;11402;RÍO IBÁÑEZ;2666;6003;4,44111277694486e-01;3;Rural
12;Magallanes;12101;PUNTA ARENAS;131592;17769;7,40570656761776e+00;1;Urbana
12;Magallanes;12102;LAGUNA BLANCA;274;3497;7,83528738919073e-02;3;Rural
12;Magallanes;12103;RÍO VERDE;617;9159;6,73654329075227e-02;3;Rural
12;Magallanes;12104;SAN GREGORIO;799;6742;1,18510827647582e-01;3;Rural
12;Magallanes;12201;CABO DE HORNOS;2063;15811;1,30478780595788e-01;3;Rural
12;Magallanes;12301;PORVENIR;6801;7347;9,25683952633728e-01;3;Rural
12;Magallanes;12302;PRIMAVERA;1158;4285;2,70245040840140e-01;3;Rural
12;Magallanes;12303;TIMAUKEL;405;11019;3,67546964334332e-02;3;Rural
12;Magallanes;12401;NATALES;21477;48696;4,41042385411533e-01;3;Rural
12;Magallanes;12402;TORRES DEL PAINE;1209;6523;1,85344166794420e-01;3;Rural
13;Metropolitana;13101;SANTIAGO;404495;29;1,39481034482759e+04;1;Urbana
13;Metropolitana;13102;CERRILLOS;80832;18;4,49066666666667e+03;1;Urbana
13;Metropolitana;13103;CERRO NAVIA;132622;12;1,10518333333333e+04;1;Urbana
13;Metropolitana;13104;CONCHALÍ;126955;11;1,15413636363636e+04;1;Urbana
13;Metropolitana;13105;EL BOSQUE;162505;15;1,08336666666667e+04;1;Urbana
13;Metropolitana;13106;ESTACIÓN CENTRAL;147041;16;9,19006250000000e+03;1;Urbana
13;Metropolitana;13107;HUECHURABA;98671;45;2,19268888888889e+03;1;Urbana
13;Metropolitana;13108;INDEPENDENCIA;100281;8;1,25351250000000e+04;1;Urbana
13;Metropolitana;13109;LA CISTERNA;90119;11;8,19263636363636e+03;1;Urbana
13;Metropolitana;13110;LA FLORIDA;366916;70;5,24165714285714e+03;1;Urbana
13;Metropolitana;13111;LA GRANJA;116571;9;1,29523333333333e+04;1;Urbana
13;Metropolitana;13112;LA PINTANA;177335;30;5,91116666666667e+03;1;Urbana
13;Metropolitana;13113;LA REINA;92787;24;3,86612500000000e+03;1;Urbana
13;Metropolitana;13114;LAS CONDES;294838;98;3,00855102040816e+03;1;Urbana
13;Metropolitana;13115;LO BARNECHEA;105833;1023;1,03453567937439e+02;1;Urbana
13;Metropolitana;13116;LO ESPEJO;98804;9;1,09782222222222e+04;1;Urbana
13;Metropolitana;13117;LO PRADO;96249;7;1,37498571428571e+04;1;Urbana
13;Metropolitana;13118;MACUL;116534;14;8,32385714285714e+03;1;Urbana
13;Metropolitana;13119;MAIPÚ;521627;138;3,77990579710145e+03;1;Urbana
13;Metropolitana;13120;ÑUÑOA;208237;18;1,15687222222222e+04;1;Urbana
13;Metropolitana;13121;PEDRO AGUIRRE CERDA;101174;8;1,26467500000000e+04;1;Urbana
13;Metropolitana;13122;PEÑALOLÉN;241599;52;4,64613461538462e+03;1;Urbana
13;Metropolitana;13123;PROVIDENCIA;142079;15;9,47193333333333e+03;1;Urbana
13;Metropolitana;13124;PUDAHUEL;230293;197;1,16900000000000e+03;1;Urbana
13;Metropolitana;13125;QUILICURA;210410;57;3,69140350877193e+03;1;Urbana
13;Metropolitana;13126;QUINTA NORMAL;110026;10;1,10026000000000e+04;1;Urbana
13;Metropolitana;13127;RECOLETA;157851;17;9,28535294117647e+03;1;Urbana
13;Metropolitana;13128;RENCA;147151;24;6,13129166666667e+03;1;Urbana
13;Metropolitana;13129;SAN JOAQUÍN;94492;9;1,04991111111111e+04;1;Urbana
13;Metropolitana;13130;SAN MIGUEL;107954;9;1,19948888888889e+04;1;Urbana
13;Metropolitana;13131;SAN RAMÓN;82900;7;1,18428571428571e+04;1;Urbana
13;Metropolitana;13132;VITACURA;85384;28;3,04942857142857e+03;1;Urbana
13;Metropolitana;13201;PUENTE ALTO;568106;89;6,38321348314607e+03;1;Urbana
13;Metropolitana;13202;PIRQUE;26521;445;5,95977528089888e+01;3;Rural
13;Metropolitana;13203;SAN JOSÉ DE MAIPO;18189;4983;3,65021071643588e+00;3;Rural
13;Metropolitana;13301;COLINA;146207;971;1,50573635427394e+02;1;Urbana
13;Metropolitana;13302;LAMPA;102034;450;2,26742222222222e+02;1;Urbana
13;Metropolitana;13303;TILTIL;19312;654;2,95290519877676e+01;3;Rural
13;Metropolitana;13401;SAN BERNARDO;301313;153;1,96936601307190e+03;1;Urbana
13;Metropolitana;13402;BUIN;96614;218;4,43183486238532e+02;1;Urbana
13;Metropolitana;13403;CALERA DE TANGO;25392;73;3,47835616438356e+02;2;Mixta
13;Metropolitana;13404;PAINE;72759;678;1,07314159292035e+02;2;Mixta
13;Metropolitana;13501;MELIPILLA;123627;1353;9,13725055432373e+01;1;Urbana
13;Metropolitana;13502;ALHUÉ;6444;846;7,61702127659574e+00;3;Rural
13;Metropolitana;13503;CURACAVÍ;32579;695;4,68762589928058e+01;2;Mixta
13;Metropolitana;13504;MARÍA PINTO;13590;395;3,44050632911392e+01;3;Rural
13;Metropolitana;13505;SAN PEDRO;9726;787;1,23583227445997e+01;3;Rural
13;Metropolitana;13601;TALAGANTE;74237;127;5,84543307086614e+02;1;Urbana
13;Metropolitana;13602;EL MONTE;35923;115;3,12373913043478e+02;2;Mixta
13;Metropolitana;13603;ISLA DE MAIPO;36219;189;1,91634920634921e+02;2;Mixta
13;Metropolitana;13604;PADRE HURTADO;63250;81;7,80864197530864e+02;1;Urbana
13;Metropolitana;13605;PEÑAFLOR;90201;70;1,28858571428571e+03;1;Urbana
14;Los Ríos;14101;VALDIVIA;166080;966;1,71925465838509e+02;1;Urbana
14;Los Ríos;14102;CORRAL;5302;719;7,37413073713491e+00;3;Rural
14;Los Ríos;14103;LANCO;16752;531;3,15480225988701e+01;2;Mixta
14;Los Ríos;14104;LOS LAGOS;19634;1791;1,09625907314350e+01;3;Rural
14;Los Ríos;14105;MÁFIL;7095;577;1,22963604852686e+01;2;Mixta
14;Los Ríos;14106;MARIQUINA;21278;1296;1,64182098765432e+01;3;Rural
14;Los Ríos;14107;PAILLACO;20188;901;2,24062153163152e+01;3;Rural
14;Los Ríos;14108;PANGUIPULLI;34539;3301;1,04631929718267e+01;3;Rural
14;Los Ríos;14201;LA UNIÓN;38036;2129;1,78656646312823e+01;3;Rural
14;Los Ríos;14202;FUTRONO;14665;2106;6,96343779677113e+00;3;Rural
14;Los Ríos;14203;LAGO RANCO;9896;1746;5,66781214203895e+00;3;Rural
14;Los Ríos;14204;RÍO BUENO;31372;2176;1,44172794117647e+01;2;Mixta
15;Arica;15101;ARICA;221364;4792;4,61944908180300e+01;1;Urbana
15;Arica;15102;CAMARONES;1255;3935;3,18932655654384e-01;3;Rural
15;Arica;15201;PUTRE;2765;5886;4,69758749575263e-01;3;Rural
15;Arica;15202;GENERAL LAGOS;684;2257;3,03057155516172e-01;3;Rural
16;Ñuble;16101;CHILLÁN;184739;475;3,88924210526316e+02;1;Urbana
16;Ñuble;16102;BULNES;21493;426;5,04530516431925e+01;3;Rural
16;Ñuble;16103;CHILLÁN VIEJO;30907;264;1,17071969696970e+02;2;Mixta
16;Ñuble;16104;EL CARMEN;12044;666;1,80840840840841e+01;3;Rural
16;Ñuble;16105;PEMUCO;8448;561;1,50588235294118e+01;3;Rural
16;Ñuble;16106;PINTO;10827;1105;9,79819004524887e+00;3;Rural
16;Ñuble;16107;QUILLÓN;17485;406;4,30665024630542e+01;2;Mixta
16;Ñuble;16108;SAN IGNACIO;16079;362;4,44171270718232e+01;3;Rural
16;Ñuble;16109;YUNGAY;17787;826;2,15338983050847e+01;2;Mixta
16;Ñuble;16201;QUIRIHUE;11594;584;1,98527397260274e+01;2;Mixta
16;Ñuble;16202;COBQUECURA;5012;576;8,70138888888889e+00;3;Rural
16;Ñuble;16203;COELEMU;15995;344;4,64970930232558e+01;3;Rural
16;Ñuble;16204;NINHUE;5213;403;1,29354838709677e+01;3;Rural
16;Ñuble;16205;PORTEZUELO;4862;289;1,68235294117647e+01;3;Rural
16;Ñuble;16206;RÁNQUIL;5755;249;2,31124497991968e+01;3;Rural
16;Ñuble;16207;TREGUACO;5401;312;1,73108974358974e+01;3;Rural
16;Ñuble;16301;SAN CARLOS;53024;876;6,05296803652968e+01;2;Mixta
16;Ñuble;16302;COIHUECO;26881;1774;1,51527621195039e+01;3;Rural
16;Ñuble;16303;ÑIQUÉN;11152;495;2,25292929292929e+01;3;Rural
16;Ñuble;16304;SAN FABIÁN;4308;1545;2,78834951456311e+00;3;Rural
16;Ñuble;16305;SAN NICOLÁS;11603;566;2,05000000000000e+01;3;Rural
